"team","as_of_date","feature_source_date","squad_size","num_players_with_value","squad_value","log_squad_value","top11_value","log_top11_value","top15_value","log_top15_value","top23_value","log_top23_value","median_player_value","squad_value_concentration","top5_value_share","top11_to_top23_ratio","value_drop_11_to_23","avg_age","value_weighted_avg_age","top11_avg_age","top11_u24_value_share","top11_over30_value_share","goalkeeper_value","log_goalkeeper_value","defense_value","log_defense_value","midfield_value","log_midfield_value","attack_value","log_attack_value","top1_goalkeeper_value","log_top1_goalkeeper_value","top4_defense_value","log_top4_defense_value","top4_midfield_value","log_top4_midfield_value","top3_attack_value","log_top3_attack_value","defense_value_share","midfield_value_share","attack_value_share","squad_value_momentum_6m","squad_value_momentum_12m","top11_value_momentum_6m","top11_value_momentum_12m","total_caps","total_goals","missing_value_share"
"Somalia",2009-01-01,2008-12-31,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,9.30047912388775,NA,9.30047912388775,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"South Africa",2009-01-01,2008-12-31,126,8,8575000,15.9643616676343,8575000,15.9643616676343,8575000,15.9643616676343,8575000,15.9643616676343,250000,1,0.959183673469388,1,NA,12.040546266419,25.8549777200408,20.9089664613279,0.12536443148688,0,0,0,150000,11.9183972397228,7625000,15.8469430116053,8e+05,13.5923682566493,0,0,150000,11.9183972397228,7550000,15.8370582536755,8e+05,13.5923682566493,0.0174927113702624,0.889212827988338,0.0932944606413994,0.34466895583442,1.02554588320839,0.34466895583442,1.02554588320839,NA,NA,0.936507936507937
"Southern Sudan",2009-01-01,2008-12-31,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,9.2498288843258,NA,9.2498288843258,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Spain",2009-01-01,2008-12-31,2169,378,1155075000,20.8674311147427,3.33e+08,19.6236530509477,3.95e+08,19.794396325397,4.98e+08,20.026110636997,1e+06,0.288292967989092,0.16016275999394,0.668674698795181,0.545795795795796,13.8099403683975,25.5305103806176,25.9150021778359,0.276276276276276,0.0750750750750751,125800000,18.6502039101797,322225000,19.5907606203585,407450000,19.8254287861848,298900000,19.5156196305998,3e+07,17.2167079729598,7.9e+07,18.1849584230895,1.32e+08,18.6983124881264,9.1e+07,18.3263700754701,0.278964569400255,0.352747657078545,0.25877107547129,0.144540347125954,0.258734731417992,0.0944096841737476,0.133102483762368,NA,NA,0.825726141078838
"Sri Lanka",2009-01-01,2008-12-31,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,18.2669404517454,NA,18.2669404517454,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"St. Kitts & Nevis",2009-01-01,2008-12-31,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,16.4791238877481,NA,16.4791238877481,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"St. Lucia",2009-01-01,2008-12-31,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,11.7871321013005,NA,11.7871321013005,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"St. Vincent & Grenadinen",2009-01-01,2008-12-31,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.91170431211499,NA,4.91170431211499,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Sudan",2009-01-01,2008-12-31,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.8062970568104,NA,2.8062970568104,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Suriname",2009-01-01,2008-12-31,62,8,4600000,15.3415670788506,4600000,15.3415670788506,4600000,15.3415670788506,4600000,15.3415670788506,1e+05,1,0.967391304347826,1,NA,12.4358040228743,22.084218670952,20.1167320017423,1,0,0,0,3175000,14.9708185052695,1425000,14.169683073439,0,0,0,0,3175000,14.9708185052695,1425000,14.169683073439,0,0,0.690217391304348,0.309782608695652,0,0.146031521207739,0.0444517526894135,0.146031521207739,0.0444517526894135,NA,NA,0.870967741935484
"Sweden",2009-01-01,2008-12-31,764,75,151225000,18.8342793585699,105500000,18.4742215203591,113450000,18.5468727780046,124800000,18.6422230219124,750000,0.697635972888081,0.532319391634981,0.845352564102564,0.832306477093207,9.6119562373903,25.5697466809104,25.8463070126314,0.146919431279621,0.0853080568720379,5800000,15.5733686479304,35250000,17.3779761155913,30900000,17.2462667742304,79275000,18.188433391003,3e+06,14.9141231799657,18250000,16.7196756927873,1.8e+07,16.705882371416,63500000,17.966550479611,0.233096379566871,0.204331294428831,0.524218879153579,0.248804766211126,0.337981058887255,0.131502307065606,0.186729359225794,NA,NA,0.901832460732984
"Switzerland",2009-01-01,2008-12-31,400,45,80525000,18.2040782656,61500000,17.9345477490369,6.9e+07,18.0496170770543,76150000,18.1482156504374,5e+05,0.763737969574666,0.484321639242471,0.807616546290217,0.781639566395664,9.66857252645646,23.3914201795318,23.8039698836413,0.577235772357724,0,9250000,16.0401342175967,26825000,17.1048448837597,40300000,17.5118620517308,4150000,15.2386191331707,5e+06,15.4249486703984,18500000,16.7332813441026,32500000,17.2967506780692,3200000,14.9786616802699,0.333126358273828,0.500465693883887,0.0515367898168271,0.163926129835229,0.289650266977905,0.134693505460213,0.233358140450211,NA,NA,0.8875
"Syria",2009-01-01,2008-12-31,22,1,1500000,14.2209763327389,1500000,14.2209763327389,1500000,14.2209763327389,1500000,14.2209763327389,1500000,1,1,1,NA,11.1120652106278,24.8377823408624,14.5842822475266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223143384647667,0.628608076089598,0.223143384647667,0.628608076089598,NA,NA,0.954545454545455
"Tahiti",2009-01-01,2008-12-31,1,1,3300000,15.009433329467,3300000,15.009433329467,3300000,15.009433329467,3300000,15.009433329467,3300000,1,1,1,NA,28.6406570841889,28.6406570841889,28.6406570841889,0,0,0,0,0,0,0,0,3300000,15.009433329467,0,0,0,0,0,0,3300000,15.009433329467,0,0,1,-0.0588404827069215,-0.0588404827069215,-0.0588404827069215,-0.0588404827069215,NA,NA,0
"Tajikistan",2009-01-01,2008-12-31,44,1,2e+05,12.2060776455177,2e+05,12.2060776455177,2e+05,12.2060776455177,2e+05,12.2060776455177,2e+05,1,1,1,NA,8.77481177275838,18.7186858316222,14.1750980026134,1,0,0,0,2e+05,12.2060776455177,0,0,0,0,0,0,2e+05,12.2060776455177,0,0,0,0,1,0,0,0,0,0,0,NA,NA,0.977272727272727
"Tanzania",2009-01-01,2008-12-31,6,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,8.31804699977184,NA,8.31804699977184,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Thailand",2009-01-01,2008-12-31,60,1,2e+05,12.2060776455177,2e+05,12.2060776455177,2e+05,12.2060776455177,2e+05,12.2060776455177,2e+05,1,1,1,NA,10.815742642026,20.5722108145106,16.2108145106092,1,0,0,0,0,0,0,0,2e+05,12.2060776455177,0,0,0,0,0,0,2e+05,12.2060776455177,0,0,1,0,0,0,0,NA,NA,0.983333333333333
"The Gambia",2009-01-01,2008-12-31,87,5,3475000,15.0611053247508,3475000,15.0611053247508,3475000,15.0611053247508,3475000,15.0611053247508,7e+05,1,1,1,NA,9.27942599542118,25.0332136754662,19.4452118723166,0.482014388489209,0,0,0,475000,13.0710721882777,0,0,3e+06,14.9141231799657,0,0,475000,13.0710721882777,0,0,2500000,14.7318016898383,0.136690647482014,0,0.863309352517986,0.540024572400956,0.616985574030933,0.540024572400956,0.616985574030933,NA,NA,0.942528735632184
"Togo",2009-01-01,2008-12-31,45,12,31650000,17.27024873815,31600000,17.2686677102027,31650000,17.27024873815,31650000,17.27024873815,450000,0.998420221169036,0.951026856240126,0.998420221169036,0.982594936708861,13.7509468400639,24.1569657865969,21.6429593678054,0.208860759493671,0.00949367088607595,3e+05,12.6115410869661,150000,11.9183972397228,1700000,14.3461393972616,29500000,17.1999008552084,3e+05,12.6115410869661,150000,11.9183972397228,1700000,14.3461393972616,27800000,17.1405466146321,0.004739336492891,0.0537124802527646,0.932069510268562,0.202427540546601,0.547837065693578,0.200846512599277,0.546256037746254,NA,NA,0.733333333333333
"Trinidad and Tobago",2009-01-01,2008-12-31,21,3,9550000,16.0720518171689,9550000,16.0720518171689,9550000,16.0720518171689,9550000,16.0720518171689,3e+05,1,1,1,NA,11.2773377660441,24.1596840720872,16.2347084811151,0.031413612565445,0,0,0,0,0,3e+05,12.6115410869661,9250000,16.0401342175967,0,0,0,0,3e+05,12.6115410869661,9250000,16.0401342175967,0,0.031413612565445,0.968586387434555,0,0,0,0,NA,NA,0.857142857142857
"Tunisia",2009-01-01,2008-12-31,122,20,24700000,17.022313842084,20825000,16.8516647940364,23475000,16.9714466256571,24700000,17.022313842084,987500,0.843117408906883,0.536437246963563,0.843117408906883,0.772575696945445,14.4869783777112,24.1494816649902,24.0706863294132,0.36734693877551,0,0,0,12075000,16.3066478403186,4550000,15.3306380107073,7775000,15.8664241446469,0,0,9500000,16.0668024618339,4450000,15.3084148788615,6400000,15.6718087045799,0.488866396761134,0.184210526315789,0.314777327935223,0.0899601405199242,0.367724762131616,0.0812439049550449,0.279313807308412,NA,NA,0.836065573770492
"Turkey",2009-01-01,2008-12-31,2180,321,358025000,19.6961133771221,8.6e+07,18.2698578658457,105100000,18.4704228453619,137900000,18.7420393500152,4e+05,0.240206689476992,0.143844703582152,0.623640319071791,0.446802325581395,11.6528717236381,25.3038241275908,26.1073984195134,0.238372093023256,0,25750000,17.063945223909,120525000,18.607367766553,104700000,18.4666096853919,107050000,18.4888065823414,5e+06,15.4249486703984,23100000,16.9553432187821,2.8e+07,17.1477151038538,32500000,17.2967506780692,0.336638502897842,0.292437678933035,0.299001466378046,0.123753620403917,0.29185715075031,0.21302054092218,0.169382372276562,NA,NA,0.852752293577982
"Turkmenistan",2009-01-01,2008-12-31,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,9.5441478439425,NA,9.5441478439425,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Uganda",2009-01-01,2008-12-31,69,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,10.6540884246446,NA,16.495799887997,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Ukraine",2009-01-01,2008-12-31,1623,239,185480000,19.038457622879,64250000,17.9782922973038,76250000,18.1495279865666,9.5e+07,18.3693874600911,3e+05,0.346398533534613,0.222395945654518,0.676315789473684,0.561284046692607,12.3662568340643,25.717695375574,26.4799950220895,0.22568093385214,0,20320000,16.8271162298872,48695000,17.7010869339134,66840000,18.0178122766526,49625000,17.7200053171228,3e+06,14.9141231799657,16500000,16.6188709994769,31250000,17.2575299661467,15500000,16.5563506464056,0.262535044209618,0.360362303213284,0.267549061893466,0.251225857386441,0.504001855743155,0.102338711551734,0.265872351416867,NA,NA,0.852741836105977
"United Arab Emirates",2009-01-01,2008-12-31,27,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,10.0849240753416,NA,14.0354676124697,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"United States",2009-01-01,2008-12-31,614,21,45725000,17.6381557741111,4.3e+07,17.5767106969137,45200000,17.6266076669264,45725000,17.6381557741111,750000,0.940404592673592,0.628758884636413,0.940404592673592,0.930290697674419,8.53458097282883,26.5147256779044,25.9622923277954,0.313953488372093,0.0813953488372093,12125000,16.310780077262,9750000,16.0927779455381,1.5e+07,16.5235608257331,8850000,15.9959281299785,7500000,15.8304137118399,9500000,16.0668024618339,14900000,16.5168718380298,8250000,15.925723879523,0.213231273920175,0.328048113723346,0.193548387096774,0.146977630672609,0.506642644250238,0.120985830570003,0.477473304273275,NA,NA,0.965798045602606
"Uruguay",2009-01-01,2008-12-31,343,36,112225000,18.5360163515429,72200000,18.0949506177135,85150000,18.259924976817,102450000,18.44488544241,2350000,0.643350412118512,0.378703497438182,0.70473401659346,0.615939519852262,12.8245879754072,24.1035967607486,23.8252753406758,0.616343490304709,0,1400000,14.1519835088709,49200000,17.7114042017877,31925000,17.2788999912063,29700000,17.206657637443,8e+05,13.5923682566493,3.1e+07,17.2494977947075,21250000,16.8718675003935,18700000,16.7440341353008,0.438404989975496,0.284473156605035,0.26464691468033,0.200621190982655,0.542586292440294,0.210413288417367,0.380502273606279,NA,NA,0.895043731778426
"Uzbekistan",2009-01-01,2008-12-31,58,3,4600000,15.3415670788506,4600000,15.3415670788506,4600000,15.3415670788506,4600000,15.3415670788506,1400000,1,1,1,NA,11.790790436404,27.5867035681338,20.7419575633128,0.304347826086957,0.652173913043478,0,0,1400000,14.1519835088709,0,0,3200000,14.9786616802699,0,0,1400000,14.1519835088709,0,0,3200000,14.9786616802699,0.304347826086957,0,0.695652173913043,-0.214409829392755,-0.122602297008726,-0.214409829392755,-0.122602297008726,NA,NA,0.948275862068966
"Vanuatu",2009-01-01,2008-12-31,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,15.2553045859001,NA,15.2553045859001,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Venezuela",2009-01-01,2008-12-31,137,10,19400000,16.7807836755799,19400000,16.7807836755799,19400000,16.7807836755799,19400000,16.7807836755799,650000,1,0.912371134020619,1,NA,11.8071913547865,25.8114552241439,23.4320204094331,0.494845360824742,0,1500000,14.2209763327389,7e+06,15.7614208498767,1e+07,16.1180957509583,9e+05,13.7101511534169,1500000,14.2209763327389,7e+06,15.7614208498767,1e+07,16.1180957509583,9e+05,13.7101511534169,0.360824742268041,0.515463917525773,0.0463917525773196,0.488734633464578,1.20741502764952,0.488734633464578,1.20741502764952,NA,NA,0.927007299270073
"Vietnam",2009-01-01,2008-12-31,47,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,9.71424410561114,NA,12.8863169684525,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Wales",2009-01-01,2008-12-31,152,24,49125000,17.7098786485099,45700000,17.6376088777463,47900000,17.684626083258,49075000,17.7088603185038,6e+05,0.93027989821883,0.732824427480916,0.931227712684666,0.93230306345733,12.6411614251234,25.9312130664451,25.4007840209072,0.415754923413567,0.218818380743982,3675000,15.1170639627379,6750000,15.7250532109968,21250000,16.8718675003935,17450000,16.6748502639193,2e+06,14.5086582385241,6700000,15.7176182336149,2e+07,16.8112428815183,17300000,16.6662171172715,0.137404580152672,0.432569974554707,0.355216284987277,-0.047699055638919,-0.0394164262334726,-0.0553332615804649,-0.0879227030155576,NA,NA,0.842105263157895
"Yemen",2009-01-01,2008-12-31,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.19028062970568,NA,4.19028062970568,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Zambia",2009-01-01,2008-12-31,24,2,975000,13.7901937756205,975000,13.7901937756205,975000,13.7901937756205,975000,13.7901937756205,487500,1,1,1,NA,11.8583162217659,24.3660295898489,16.524671769025,0.0769230769230769,0,0,0,0,0,0,0,975000,13.7901937756205,0,0,0,0,0,0,975000,13.7901937756205,0,0,1,0,0.137200970684088,0,0.137200970684088,NA,NA,0.916666666666667
"Zimbabwe",2009-01-01,2008-12-31,26,1,6e+05,13.3046866008636,6e+05,13.3046866008636,6e+05,13.3046866008636,6e+05,13.3046866008636,6e+05,1,1,1,NA,14.2533564997631,24.6981519507187,19.6577686516085,0,0,0,0,0,0,6e+05,13.3046866008636,0,0,0,0,0,0,6e+05,13.3046866008636,0,0,0,1,0,0.405464274776568,0.405464274776568,0.405464274776568,0.405464274776568,NA,NA,0.961538461538462
"Afghanistan",2009-07-01,2009-06-30,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,15.4515172256445,NA,15.4515172256445,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Albania",2009-07-01,2009-06-30,183,19,28320000,17.1590788621005,27150000,17.1168876411766,28050000,17.1494992255836,28320000,17.1590788621005,6e+05,0.958686440677966,0.817443502824859,0.958686440677966,0.940745856353591,12.018087768315,25.2280213034181,23.746126563375,0.202578268876611,0.0589318600368324,75000,11.2252567257629,8400000,15.9437423828612,15195000,16.5364770501441,4650000,15.3523779926173,75000,11.2252567257629,8350000,15.9377722165875,14900000,16.5168718380298,3250000,14.9941658619982,0.296610169491525,0.536546610169492,0.164194915254237,0.0818245407193565,0.193185432877627,0.074533049012441,0.159382259483571,NA,NA,0.896174863387978
"Algeria",2009-07-01,2009-06-30,200,31,36950000,17.4250762324221,25150000,17.0403684942715,29050000,17.1845290756856,34400000,17.3535671514134,8e+05,0.68064952638701,0.43978349120433,0.731104651162791,0.662856196156395,13.6733059548255,24.0767190989174,23.9208512226993,0.214711729622266,0,450000,13.0170050839663,8200000,15.9196448341857,16250000,16.6036035282785,12050000,16.3045753008885,250000,12.4292201968364,5700000,15.5559769082434,11600000,16.2665157422835,7150000,15.7826230545303,0.22192151556157,0.43978349120433,0.326116373477673,0.245724044737347,0.543840982463738,0.277790782241031,0.510163126261133,NA,NA,0.845
"Andorra",2009-07-01,2009-06-30,36,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,11.7812761426724,NA,19.1430527036277,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Angola",2009-07-01,2009-06-30,84,9,8600000,15.9672728775028,8600000,15.9672728775028,8600000,15.9672728775028,8600000,15.9672728775028,1250000,1,0.883720930232558,1,NA,12.993970209576,24.8137943110007,22.7736917428909,0.255813953488372,0,5e+05,13.1223653774023,1700000,14.3461393972616,0,0,6400000,15.6718087045799,5e+05,13.1223653774023,1700000,14.3461393972616,0,0,5100000,15.444751293773,0.197674418604651,0,0.744186046511628,0.130214623827269,0.42010659738904,0.130214623827269,0.42010659738904,NA,NA,0.892857142857143
"Antigua and Barbuda",2009-07-01,2009-06-30,9,1,8e+05,13.5923682566493,8e+05,13.5923682566493,8e+05,13.5923682566493,8e+05,13.5923682566493,8e+05,1,1,1,NA,13.5414099931554,26.6338124572211,13.5414099931554,0,0,0,0,0,0,8e+05,13.5923682566493,0,0,0,0,0,0,8e+05,13.5923682566493,0,0,0,1,0,-0.405464691441932,-0.405464691441932,-0.405464691441932,-0.405464691441932,NA,NA,0.888888888888889
"Argentina",2009-07-01,2009-06-30,1732,224,805200000,20.5066012529718,2.75e+08,19.4322816592672,3.24e+08,19.596254076843,396250000,19.7975558856794,1800000,0.341530054644809,0.208643815201192,0.694006309148265,0.595833333333333,12.1102032364178,24.9132571889835,25.9560699396428,0.48,0.109090909090909,33775000,17.3352314714182,192450000,19.0753469428902,258075000,19.3687608021908,320900000,19.5866401091963,6e+06,15.607270193859,5e+07,17.7275335833924,9.6e+07,18.3798587598488,1.15e+08,18.5604426950232,0.239008941877794,0.32051043219076,0.398534525583706,0.0501370095920706,0.166911837408428,0.0541682362707405,0.117555788298027,NA,NA,0.87066974595843
"Armenia",2009-07-01,2009-06-30,88,5,2600000,14.771022387607,2600000,14.771022387607,2600000,14.771022387607,2600000,14.771022387607,5e+05,1,1,1,NA,13.5162093211375,27.0233243826673,24.2401841826893,0.615384615384615,0.384615384615385,1150000,13.9552733699043,350000,12.7656912906044,6e+05,13.3046866008636,5e+05,13.1223653774023,1e+06,13.8155115579638,350000,12.7656912906044,6e+05,13.3046866008636,5e+05,13.1223653774023,0.134615384615385,0.230769230769231,0.192307692307692,0.550046054868139,0.155754464586442,0.550046054868139,0.155754464586442,NA,NA,0.943181818181818
"Aruba",2009-07-01,2009-06-30,6,2,575000,13.2621270589084,575000,13.2621270589084,575000,13.2621270589084,575000,13.2621270589084,287500,1,1,1,NA,17.9210586356377,20.6424426390501,17.9210586356377,1,0,0,0,0,0,75000,11.2252567257629,5e+05,13.1223653774023,0,0,0,0,75000,11.2252567257629,5e+05,13.1223653774023,0,0.130434782608696,0.869565217391304,0.139761681506082,2.03687033314552,0.139761681506082,2.03687033314552,NA,NA,0.666666666666667
"Australia",2009-07-01,2009-06-30,474,22,21125000,16.8659677785448,19500000,16.785925074816,20550000,16.8383715475683,21125000,16.8659677785448,325000,0.923076923076923,0.710059171597633,0.923076923076923,0.916666666666667,8.76253765266839,27.2709443560178,25.3935660506502,0.135897435897436,0.205128205128205,6300000,15.6560603500919,3975000,15.1955355576429,3900000,15.1764873675101,6950000,15.7542523614259,4e+06,15.2018051690841,3900000,15.1764873675101,3650000,15.1102379995312,6650000,15.710127563008,0.188165680473373,0.184615384615385,0.328994082840237,0.235048441277566,0.71831322825755,0.204095344732483,0.682942960144914,NA,NA,0.953586497890295
"Austria",2009-07-01,2009-06-30,421,51,67950000,18.0342827132781,44450000,17.6098755424214,53400000,17.793321322657,61050000,17.927203774901,6e+05,0.654157468727005,0.367181751287712,0.728091728091728,0.657667791526059,11.1252240800495,25.1098069390252,26.4117976479373,0.253093363329584,0.101237345331834,7875000,15.8792038696601,23700000,16.9809856482995,13875000,16.4455992896688,22500000,16.9290259116191,4500000,15.3195881769627,14700000,16.5033581197762,1.1e+07,16.2134059216717,13250000,16.3995081858682,0.34878587196468,0.204194260485651,0.33112582781457,0.146758396533738,0.308751132516303,0.0783568386240105,0.197052696471395,NA,NA,0.878859857482185
"Azerbaijan",2009-07-01,2009-06-30,62,2,1350000,14.1156158911551,1350000,14.1156158911551,1350000,14.1156158911551,1350000,14.1156158911551,675000,1,1,1,NA,12.2276832041686,22.1227469769564,18.8177462510111,1,0,450000,13.0170050839663,9e+05,13.7101511534169,0,0,0,0,450000,13.0170050839663,9e+05,13.7101511534169,0,0,0,0,0.666666666666667,0,0,0.89794051576626,3.29581760694479,0.89794051576626,3.29581760694479,NA,NA,0.967741935483871
"Bahrain",2009-07-01,2009-06-30,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,13.8932238193018,NA,13.8932238193018,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Bangladesh",2009-07-01,2009-06-30,38,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,8.72682733527865,NA,12.0647128367868,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Barbados",2009-07-01,2009-06-30,5,2,2950000,14.897316067299,2950000,14.897316067299,2950000,14.897316067299,2950000,14.897316067299,1475000,1,1,1,NA,15.8444900752909,29.2534252137496,15.8444900752909,0.0508474576271186,0,0,0,2800000,14.8451303322882,0,0,150000,11.9183972397228,0,0,2800000,14.8451303322882,0,0,150000,11.9183972397228,0.949152542372881,0,0.0508474576271186,0.388657828774901,0.522189149970892,0.388657828774901,0.522189149970892,NA,NA,0.6
"Belarus",2009-07-01,2009-06-30,114,32,33475000,17.3263094794146,27500000,17.1296965990004,29850000,17.2116954313037,32500000,17.2967506780692,425000,0.82150858849888,0.681105302464526,0.846153846153846,0.833333333333333,14.6538179809551,26.636082072138,25.4331404393006,0.123636363636364,0,5475000,15.5157030163152,4625000,15.3469871451449,21775000,16.8962731266271,1600000,14.2855148122098,3600000,15.0964446812041,2850000,14.862829903122,18750000,16.746704363714,1500000,14.2209763327389,0.138162808065721,0.650485436893204,0.0477968633308439,0.0108125393155376,0.112104636589365,-0.103212752761639,-0.0198026265831679,NA,NA,0.719298245614035
"Belgium",2009-07-01,2009-06-30,1194,186,253100000,19.3492952294664,8.9e+07,18.3041469389324,108250000,18.4999539340847,140250000,18.7589371094972,7e+05,0.351639668115369,0.209403397866456,0.63458110516934,0.472144194756554,12.6414389996985,24.4192478698769,23.7916744446519,0.786516853932584,0.140449438202247,25650000,17.0600541685674,88950000,18.3035849833184,94475000,18.3638458177846,39875000,17.5012601441477,4500000,15.3195881769627,28500000,17.1654146803266,4.3e+07,17.5767106969137,1.4e+07,16.4545679590081,0.351442117740024,0.373271434215725,0.157546424338206,0.213338947990476,0.37933766960008,0.214751890986339,0.363924265961451,NA,NA,0.844221105527638
"Benin",2009-07-01,2009-06-30,29,4,12150000,16.3128398100554,12150000,16.3128398100554,12150000,16.3128398100554,12150000,16.3128398100554,450000,1,1,1,NA,14.9430007788713,24.8285773034423,19.9459896708357,0.0946502057613169,0,0,0,9e+05,13.7101511534169,1.1e+07,16.2134059216717,250000,12.4292201968364,0,0,9e+05,13.7101511534169,1.1e+07,16.2134059216717,250000,12.4292201968364,0.0740740740740741,0.905349794238683,0.0205761316872428,0.375067593467845,0.689040316977403,0.375067593467845,0.689040316977403,NA,NA,0.862068965517241
"Bermuda",2009-07-01,2009-06-30,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,15.9151266255989,NA,15.9151266255989,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Bolivia",2009-07-01,2009-06-30,62,2,7e+05,13.458837042596,7e+05,13.458837042596,7e+05,13.458837042596,7e+05,13.458837042596,350000,1,1,1,NA,9.57183546399947,23.1172386819204,18.1932673760189,1,0,0,0,0,0,4e+05,12.899222326087,3e+05,12.6115410869661,0,0,0,0,4e+05,12.899222326087,3e+05,12.6115410869661,0,0.571428571428571,0.428571428571429,0,2.63903875838566,0,2.63903875838566,NA,NA,0.967741935483871
"Bonaire",2009-07-01,2009-06-30,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,8.76659822039699,NA,8.76659822039699,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Bosnia-Herzegovina",2009-07-01,2009-06-30,244,41,76250000,18.1495279865666,63550000,17.9673375713354,68350000,18.0401521357648,73150000,18.1080226991009,550000,0.83344262295082,0.662295081967213,0.868762816131237,0.861526357199056,12.9097182482243,24.2542188709732,25.0777176280256,0.490165224232887,0.022029897718332,9e+05,13.7101511534169,8075000,15.904283550912,36775000,17.4203288516442,30500000,17.2332372743645,4e+05,12.899222326087,5750000,15.5647105866866,2.8e+07,17.1477151038538,2.7e+07,17.1113474610056,0.105901639344262,0.482295081967213,0.4,0.473814150840209,0.673666032379405,0.52216689239194,0.701839435793485,NA,NA,0.831967213114754
"Botswana",2009-07-01,2009-06-30,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.4113620807666,NA,3.4113620807666,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
