"team","as_of_date","feature_source_date","squad_size","num_players_with_value","squad_value","log_squad_value","top11_value","log_top11_value","top15_value","log_top15_value","median_player_value","squad_value_concentration","avg_age","total_caps","total_goals","missing_value_share"
"Uganda","2001-07-01","2001-06-30",69,0,0,0,0,0,0,0,NA,NA,3.14963941711554,NA,NA,1
"Ukraine","2001-07-01","2001-06-30",1623,0,0,0,0,0,0,0,NA,NA,4.86180782653518,NA,NA,1
"United Arab Emirates","2001-07-01","2001-06-30",27,0,0,0,0,0,0,0,NA,NA,2.58047506781251,NA,NA,1
"United States","2001-07-01","2001-06-30",614,0,0,0,0,0,0,0,NA,NA,1.03013196529974,NA,NA,1
"Uruguay","2001-07-01","2001-06-30",343,0,0,0,0,0,0,0,NA,NA,5.32013896787815,NA,NA,1
"Uzbekistan","2001-07-01","2001-06-30",58,0,0,0,0,0,0,0,NA,NA,4.28634142887489,NA,NA,1
"Vanuatu","2001-07-01","2001-06-30",1,0,0,0,0,0,0,0,NA,NA,7.75085557837098,NA,NA,1
"Venezuela","2001-07-01","2001-06-30",137,0,0,0,0,0,0,0,NA,NA,4.3027423472574,NA,NA,1
"Vietnam","2001-07-01","2001-06-30",47,0,0,0,0,0,0,0,NA,NA,2.20979509808205,NA,NA,1
"Wales","2001-07-01","2001-06-30",152,0,0,0,0,0,0,0,NA,NA,5.13671241759429,NA,NA,1
"Yemen","2001-07-01","2001-06-30",2,0,0,0,0,0,0,0,NA,NA,-3.31416837782341,NA,NA,1
"Zambia","2001-07-01","2001-06-30",24,0,0,0,0,0,0,0,NA,NA,4.35386721423682,NA,NA,1
"Zimbabwe","2001-07-01","2001-06-30",26,0,0,0,0,0,0,0,NA,NA,6.74890749223398,NA,NA,1
"Afghanistan","2002-01-01","2001-12-31",3,0,0,0,0,0,0,0,NA,NA,7.95528177047684,NA,NA,1
"Albania","2002-01-01","2001-12-31",183,0,0,0,0,0,0,0,NA,NA,4.52185231314729,NA,NA,1
"Algeria","2002-01-01","2001-12-31",200,0,0,0,0,0,0,0,NA,NA,6.17707049965777,NA,NA,1
"Andorra","2002-01-01","2001-12-31",36,0,0,0,0,0,0,0,NA,NA,4.28504068750475,NA,NA,1
"Angola","2002-01-01","2001-12-31",84,0,0,0,0,0,0,0,NA,NA,5.49773475440827,NA,NA,1
"Antigua and Barbuda","2002-01-01","2001-12-31",9,0,0,0,0,0,0,0,NA,NA,6.04517453798768,NA,NA,1
"Argentina","2002-01-01","2001-12-31",1732,0,0,0,0,0,0,0,NA,NA,4.61396778125014,NA,NA,1
"Armenia","2002-01-01","2001-12-31",88,0,0,0,0,0,0,0,NA,NA,6.01997386596976,NA,NA,1
"Aruba","2002-01-01","2001-12-31",6,0,0,0,0,0,0,0,NA,NA,10.42482318047,NA,NA,1
"Australia","2002-01-01","2001-12-31",474,0,0,0,0,0,0,0,NA,NA,1.2663021975007,NA,NA,1
"Austria","2002-01-01","2001-12-31",421,0,0,0,0,0,0,0,NA,NA,3.62898862488185,NA,NA,1
"Azerbaijan","2002-01-01","2001-12-31",62,0,0,0,0,0,0,0,NA,NA,4.7314477490009,NA,NA,1
"Bahrain","2002-01-01","2001-12-31",2,0,0,0,0,0,0,0,NA,NA,6.39698836413415,NA,NA,1
"Bangladesh","2002-01-01","2001-12-31",38,0,0,0,0,0,0,0,NA,NA,1.23059188011095,NA,NA,1
"Barbados","2002-01-01","2001-12-31",5,0,0,0,0,0,0,0,NA,NA,8.3482546201232,NA,NA,1
"Belarus","2002-01-01","2001-12-31",114,0,0,0,0,0,0,0,NA,NA,7.15758252578743,NA,NA,1
"Belgium","2002-01-01","2001-12-31",1194,0,0,0,0,0,0,0,NA,NA,5.14520354453078,NA,NA,1
"Benin","2002-01-01","2001-12-31",29,0,0,0,0,0,0,0,NA,NA,7.44676532370365,NA,NA,1
"Bermuda","2002-01-01","2001-12-31",2,0,0,0,0,0,0,0,NA,NA,8.41889117043121,NA,NA,1
"Bolivia","2002-01-01","2001-12-31",62,0,0,0,0,0,0,0,NA,NA,2.07560000883178,NA,NA,1
"Bonaire","2002-01-01","2001-12-31",3,0,0,0,0,0,0,0,NA,NA,1.2703627652293,NA,NA,1
"Bosnia-Herzegovina","2002-01-01","2001-12-31",244,0,0,0,0,0,0,0,NA,NA,5.41348279305663,NA,NA,1
"Botswana","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,-4.0848733744011,NA,NA,1
"Brazil","2002-01-01","2001-12-31",2697,0,0,0,0,0,0,0,NA,NA,5.38697470279676,NA,NA,1
"Brunei Darussalam","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,3.64955509924709,NA,NA,1
"Bulgaria","2002-01-01","2001-12-31",100,0,0,0,0,0,0,0,NA,NA,7.96695414099931,NA,NA,1
"Burkina Faso","2002-01-01","2001-12-31",70,0,0,0,0,0,0,0,NA,NA,4.43230663928816,NA,NA,1
"Burundi","2002-01-01","2001-12-31",19,0,0,0,0,0,0,0,NA,NA,5.86534097049605,NA,NA,1
"Cambodia","2002-01-01","2001-12-31",24,0,0,0,0,0,0,0,NA,NA,0.904175222450376,NA,NA,1
"Cameroon","2002-01-01","2001-12-31",246,0,0,0,0,0,0,0,NA,NA,6.63512573524093,NA,NA,1
"Canada","2002-01-01","2001-12-31",133,0,0,0,0,0,0,0,NA,NA,2.85074081507671,NA,NA,1
"Cape Verde","2002-01-01","2001-12-31",114,0,0,0,0,0,0,0,NA,NA,7.28700601606686,NA,NA,1
"Central African Republic","2002-01-01","2001-12-31",24,0,0,0,0,0,0,0,NA,NA,7.30755190508784,NA,NA,1
"Chad","2002-01-01","2001-12-31",5,0,0,0,0,0,0,0,NA,NA,7.78699520876112,NA,NA,1
"Chile","2002-01-01","2001-12-31",144,0,0,0,0,0,0,0,NA,NA,6.70119400714883,NA,NA,1
"China","2002-01-01","2001-12-31",58,0,0,0,0,0,0,0,NA,NA,4.50088508107343,NA,NA,1
"Chinese Taipei","2002-01-01","2001-12-31",38,0,0,0,0,0,0,0,NA,NA,2.78547498108721,NA,NA,1
"Colombia","2002-01-01","2001-12-31",956,0,0,0,0,0,0,0,NA,NA,2.72273533058975,NA,NA,1
"Comoros","2002-01-01","2001-12-31",66,0,0,0,0,0,0,0,NA,NA,3.25671499388132,NA,NA,1
"Congo","2002-01-01","2001-12-31",58,0,0,0,0,0,0,0,NA,NA,6.59321673865326,NA,NA,1
"Costa Rica","2002-01-01","2001-12-31",83,0,0,0,0,0,0,0,NA,NA,4.82340037769146,NA,NA,1
"Cote d'Ivoire","2002-01-01","2001-12-31",327,0,0,0,0,0,0,0,NA,NA,4.74097796532474,NA,NA,1
"Croatia","2002-01-01","2001-12-31",584,0,0,0,0,0,0,0,NA,NA,4.10769036032742,NA,NA,1
"Cuba","2002-01-01","2001-12-31",5,0,0,0,0,0,0,0,NA,NA,2.72908966461328,NA,NA,1
"Curacao","2002-01-01","2001-12-31",77,0,0,0,0,0,0,0,NA,NA,5.22083255553481,NA,NA,1
"Cyprus","2002-01-01","2001-12-31",61,0,0,0,0,0,0,0,NA,NA,5.01269061164035,NA,NA,1
"Czech Republic","2002-01-01","2001-12-31",574,0,0,0,0,0,0,0,NA,NA,3.9700076554887,NA,NA,1
"Denmark","2002-01-01","2001-12-31",1200,0,0,0,0,0,0,0,NA,NA,5.32011723146323,NA,NA,1
"Dominican Republic","2002-01-01","2001-12-31",48,0,0,0,0,0,0,0,NA,NA,1.71178416609628,NA,NA,1
"DR Congo","2002-01-01","2001-12-31",152,0,0,0,0,0,0,0,NA,NA,7.25350336827696,NA,NA,1
"Ecuador","2002-01-01","2001-12-31",106,0,0,0,0,0,0,0,NA,NA,3.26790903103328,NA,NA,1
"Egypt","2002-01-01","2001-12-31",100,0,0,0,0,0,0,0,NA,NA,6.7586584531143,NA,NA,1
"El Salvador","2002-01-01","2001-12-31",53,0,0,0,0,0,0,0,NA,NA,3.67972311546756,NA,NA,1
"England","2002-01-01","2001-12-31",1682,0,0,0,0,0,0,0,NA,NA,5.58623619578726,NA,NA,1
"Equatorial Guinea","2002-01-01","2001-12-31",23,0,0,0,0,0,0,0,NA,NA,7.00211290658572,NA,NA,1
"Eritrea","2002-01-01","2001-12-31",4,0,0,0,0,0,0,0,NA,NA,10.0554414784394,NA,NA,1
"Estonia","2002-01-01","2001-12-31",52,0,0,0,0,0,0,0,NA,NA,5.02700995103459,NA,NA,1
"Ethiopia","2002-01-01","2001-12-31",43,0,0,0,0,0,0,0,NA,NA,3.52100345414896,NA,NA,1
"Faroe Islands","2002-01-01","2001-12-31",45,0,0,0,0,0,0,0,NA,NA,4.35397368621188,NA,NA,1
"Fiji","2002-01-01","2001-12-31",3,0,0,0,0,0,0,0,NA,NA,6.85010266940452,NA,NA,1
"Finland","2002-01-01","2001-12-31",122,0,0,0,0,0,0,0,NA,NA,5.44370013801461,NA,NA,1
"France","2002-01-01","2001-12-31",1888,1,1e+05,11.5129354649202,1e+05,11.5129354649202,1e+05,11.5129354649202,1e+05,1,6.21193243007472,NA,NA,0.999470338983051
"French Guiana","2002-01-01","2001-12-31",8,0,0,0,0,0,0,0,NA,NA,13.0639972621492,NA,NA,1
"Gabon","2002-01-01","2001-12-31",36,0,0,0,0,0,0,0,NA,NA,7.09453190356681,NA,NA,1
"Georgia","2002-01-01","2001-12-31",137,0,0,0,0,0,0,0,NA,NA,5.97628861343845,NA,NA,1
"Germany","2002-01-01","2001-12-31",1452,0,0,0,0,0,0,0,NA,NA,6.0258618498144,NA,NA,1
"Ghana","2002-01-01","2001-12-31",380,0,0,0,0,0,0,0,NA,NA,3.97731701458682,NA,NA,1
"Gibraltar","2002-01-01","2001-12-31",30,0,0,0,0,0,0,0,NA,NA,0.260187086470454,NA,NA,1
"Greece","2002-01-01","2001-12-31",1298,0,0,0,0,0,0,0,NA,NA,6.56643853002532,NA,NA,1
"Grenada","2002-01-01","2001-12-31",9,0,0,0,0,0,0,0,NA,NA,7.66354855882577,NA,NA,1
"Guadeloupe","2002-01-01","2001-12-31",41,0,0,0,0,0,0,0,NA,NA,9.62554882222333,NA,NA,1
"Guatemala","2002-01-01","2001-12-31",27,0,0,0,0,0,0,0,NA,NA,3.35265039166477,NA,NA,1
"Guinea","2002-01-01","2001-12-31",128,0,0,0,0,0,0,0,NA,NA,4.83949349760438,NA,NA,1
"Guinea-Bissau","2002-01-01","2001-12-31",85,0,0,0,0,0,0,0,NA,NA,5.17846760880944,NA,NA,1
"Guyana","2002-01-01","2001-12-31",10,0,0,0,0,0,0,0,NA,NA,3.75852156057495,NA,NA,1
"Haiti","2002-01-01","2001-12-31",40,0,0,0,0,0,0,0,NA,NA,5.51403148528405,NA,NA,1
"Honduras","2002-01-01","2001-12-31",66,0,0,0,0,0,0,0,NA,NA,6.01489224897849,NA,NA,1
"Hongkong","2002-01-01","2001-12-31",36,0,0,0,0,0,0,0,NA,NA,5.40284432276219,NA,NA,1
"Hungary","2002-01-01","2001-12-31",135,0,0,0,0,0,0,0,NA,NA,6.43579486399473,NA,NA,1
"Iceland","2002-01-01","2001-12-31",126,0,0,0,0,0,0,0,NA,NA,6.062231782971,NA,NA,1
"India","2002-01-01","2001-12-31",21,0,0,0,0,0,0,0,NA,NA,3.37668263746292,NA,NA,1
"Indonesia","2002-01-01","2001-12-31",38,0,0,0,0,0,0,0,NA,NA,2.47148672502612,NA,NA,1
"Iran","2002-01-01","2001-12-31",56,0,0,0,0,0,0,0,NA,NA,6.65121736579642,NA,NA,1
"Iraq","2002-01-01","2001-12-31",66,0,0,0,0,0,0,0,NA,NA,3.03080082135524,NA,NA,1
"Ireland","2002-01-01","2001-12-31",276,0,0,0,0,0,0,0,NA,NA,7.10436568163557,NA,NA,1
"Israel","2002-01-01","2001-12-31",144,0,0,0,0,0,0,0,NA,NA,6.23332572819226,NA,NA,1
"Italy","2002-01-01","2001-12-31",1993,0,0,0,0,0,0,0,NA,NA,6.17250726619143,NA,NA,1
"Jamaica","2002-01-01","2001-12-31",111,0,0,0,0,0,0,0,NA,NA,4.24956373210993,NA,NA,1
"Japan","2002-01-01","2001-12-31",923,0,0,0,0,0,0,0,NA,NA,2.52726789513616,NA,NA,1
"Jordan","2002-01-01","2001-12-31",45,0,0,0,0,0,0,0,NA,NA,3.47713134078637,NA,NA,1
"Kazakhstan","2002-01-01","2001-12-31",36,0,0,0,0,0,0,0,NA,NA,5.92060232717317,NA,NA,1
"Kenya","2002-01-01","2001-12-31",23,0,0,0,0,0,0,0,NA,NA,4.79802398595363,NA,NA,1
"Korea, North","2002-01-01","2001-12-31",2,0,0,0,0,0,0,0,NA,NA,7.10198494182067,NA,NA,1
"Korea, South","2002-01-01","2001-12-31",610,0,0,0,0,0,0,0,NA,NA,1.76928894424434,NA,NA,1
"Kosovo","2002-01-01","2001-12-31",129,0,0,0,0,0,0,0,NA,NA,3.03822909868467,NA,NA,1
"Kyrgyzstan","2002-01-01","2001-12-31",40,0,0,0,0,0,0,0,NA,NA,2.11854893908282,NA,NA,1
"Laos","2002-01-01","2001-12-31",29,0,0,0,0,0,0,0,NA,NA,-0.979395312610635,NA,NA,1
"Latvia","2002-01-01","2001-12-31",50,0,0,0,0,0,0,0,NA,NA,4.90206707734429,NA,NA,1
"Lebanon","2002-01-01","2001-12-31",29,0,0,0,0,0,0,0,NA,NA,4.12669640539073,NA,NA,1
"Liberia","2002-01-01","2001-12-31",22,0,0,0,0,0,0,0,NA,NA,3.70057868209819,NA,NA,1
"Libya","2002-01-01","2001-12-31",35,0,0,0,0,0,0,0,NA,NA,4.59239268602718,NA,NA,1
"Liechtenstein","2002-01-01","2001-12-31",4,0,0,0,0,0,0,0,NA,NA,7.39082819986311,NA,NA,1
"Lithuania","2002-01-01","2001-12-31",72,0,0,0,0,0,0,0,NA,NA,5.64936497072021,NA,NA,1
"Luxembourg","2002-01-01","2001-12-31",43,0,0,0,0,0,0,0,NA,NA,3.00908902790379,NA,NA,1
"Macao","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,7.05270362765229,NA,NA,1
"Madagascar","2002-01-01","2001-12-31",23,0,0,0,0,0,0,0,NA,NA,6.91545397732345,NA,NA,1
"Malawi","2002-01-01","2001-12-31",3,0,0,0,0,0,0,0,NA,NA,4.50467716176135,NA,NA,1
"Malaysia","2002-01-01","2001-12-31",29,0,0,0,0,0,0,0,NA,NA,4.4170974061224,NA,NA,1
"Mali","2002-01-01","2001-12-31",180,0,0,0,0,0,0,0,NA,NA,5.54746368545136,NA,NA,1
"Malta","2002-01-01","2001-12-31",42,0,0,0,0,0,0,0,NA,NA,3.57022261334376,NA,NA,1
"Martinique","2002-01-01","2001-12-31",37,0,0,0,0,0,0,0,NA,NA,10.5281462160312,NA,NA,1
"Mauritania","2002-01-01","2001-12-31",29,0,0,0,0,0,0,0,NA,NA,3.42184144067597,NA,NA,1
"Mauritius","2002-01-01","2001-12-31",2,0,0,0,0,0,0,0,NA,NA,5.80424366872005,NA,NA,1
"Mexico","2002-01-01","2001-12-31",536,0,0,0,0,0,0,0,NA,NA,1.28237661793701,NA,NA,1
"Moldova","2002-01-01","2001-12-31",63,0,0,0,0,0,0,0,NA,NA,4.83256738698217,NA,NA,1
"Monaco","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,7.88227241615332,NA,NA,1
"Mongolia","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,-3.04996577686516,NA,NA,1
"Montenegro","2002-01-01","2001-12-31",118,0,0,0,0,0,0,0,NA,NA,6.30188285246929,NA,NA,1
"Montserrat","2002-01-01","2001-12-31",6,0,0,0,0,0,0,0,NA,NA,8.28108601414556,NA,NA,1
"Morocco","2002-01-01","2001-12-31",366,0,0,0,0,0,0,0,NA,NA,4.55225292953774,NA,NA,1
"Mozambique","2002-01-01","2001-12-31",18,0,0,0,0,0,0,0,NA,NA,8.88386949577915,NA,NA,1
"Myanmar","2002-01-01","2001-12-31",33,0,0,0,0,0,0,0,NA,NA,2.30502146723913,NA,NA,1
"Netherlands","2002-01-01","2001-12-31",1555,0,0,0,0,0,0,0,NA,NA,5.31128782052807,NA,NA,1
"Neukaledonien","2002-01-01","2001-12-31",2,0,0,0,0,0,0,0,NA,NA,13.772758384668,NA,NA,1
"New Caledonia","2002-01-01","2001-12-31",2,0,0,0,0,0,0,0,NA,NA,5.79603011635866,NA,NA,1
"New Zealand","2002-01-01","2001-12-31",105,0,0,0,0,0,0,0,NA,NA,1.26553893289006,NA,NA,1
"Nicaragua","2002-01-01","2001-12-31",6,0,0,0,0,0,0,0,NA,NA,5.06548026465891,NA,NA,1
"Niger","2002-01-01","2001-12-31",13,0,0,0,0,0,0,0,NA,NA,5.15937450639709,NA,NA,1
"Nigeria","2002-01-01","2001-12-31",513,0,0,0,0,0,0,0,NA,NA,3.7968920323472,NA,NA,1
"North Macedonia","2002-01-01","2001-12-31",107,0,0,0,0,0,0,0,NA,NA,6.36092293717656,NA,NA,1
"Northern Ireland","2002-01-01","2001-12-31",127,0,0,0,0,0,0,0,NA,NA,6.43653629538607,NA,NA,1
"Norway","2002-01-01","2001-12-31",565,0,0,0,0,0,0,0,NA,NA,2.56729964323139,NA,NA,1
"Oman","2002-01-01","2001-12-31",50,0,0,0,0,0,0,0,NA,NA,4.20062970568104,NA,NA,1
"Pakistan","2002-01-01","2001-12-31",4,0,0,0,0,0,0,0,NA,NA,5.48528405201917,NA,NA,1
"Palestine","2002-01-01","2001-12-31",10,0,0,0,0,0,0,0,NA,NA,5.32758384668036,NA,NA,1
"Panama","2002-01-01","2001-12-31",61,0,0,0,0,0,0,0,NA,NA,2.87537168568575,NA,NA,1
"Papua New Guinea","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,6.01505817932923,NA,NA,1
"Paraguay","2002-01-01","2001-12-31",147,0,0,0,0,0,0,0,NA,NA,5.41137139318424,NA,NA,1
"Peru","2002-01-01","2001-12-31",102,0,0,0,0,0,0,0,NA,NA,4.8826347787575,NA,NA,1
"Philippines","2002-01-01","2001-12-31",45,0,0,0,0,0,0,0,NA,NA,3.23924252794889,NA,NA,1
"Poland","2002-01-01","2001-12-31",660,0,0,0,0,0,0,0,NA,NA,2.31897620973596,NA,NA,1
"Portugal","2002-01-01","2001-12-31",1261,0,0,0,0,0,0,0,NA,NA,6.59918222720145,NA,NA,1
"Puerto Rico","2002-01-01","2001-12-31",33,0,0,0,0,0,0,0,NA,NA,-0.992263497396968,NA,NA,1
"Qatar","2002-01-01","2001-12-31",54,0,0,0,0,0,0,0,NA,NA,4.80158186934368,NA,NA,1
"Réunion","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,18.1273100616016,NA,NA,1
"Romania","2002-01-01","2001-12-31",558,0,0,0,0,0,0,0,NA,NA,2.73924915178144,NA,NA,1
"Russia","2002-01-01","2001-12-31",1598,0,0,0,0,0,0,0,NA,NA,5.69975645463743,NA,NA,1
"Rwanda","2002-01-01","2001-12-31",10,0,0,0,0,0,0,0,NA,NA,3.99890485968515,NA,NA,1
"Saint-Martin","2002-01-01","2001-12-31",3,0,0,0,0,0,0,0,NA,NA,13.9676020990189,NA,NA,1
"San Marino","2002-01-01","2001-12-31",16,0,0,0,0,0,0,0,NA,NA,1.68412046543463,NA,NA,1
"Sao Tome and Principe","2002-01-01","2001-12-31",8,0,0,0,0,0,0,0,NA,NA,6.41375770020534,NA,NA,1
"Saudi Arabia","2002-01-01","2001-12-31",493,0,0,0,0,0,0,0,NA,NA,1.68773784384532,NA,NA,1
"Scotland","2002-01-01","2001-12-31",1021,0,0,0,0,0,0,0,NA,NA,5.84044175664904,NA,NA,1
"Senegal","2002-01-01","2001-12-31",408,0,0,0,0,0,0,0,NA,NA,5.49628242809786,NA,NA,1
"Serbia","2002-01-01","2001-12-31",896,0,0,0,0,0,0,0,NA,NA,3.96323457514422,NA,NA,1
"Seychelles","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,13.9822039698836,NA,NA,1
"Sierra Leone","2002-01-01","2001-12-31",33,0,0,0,0,0,0,0,NA,NA,4.82210192271794,NA,NA,1
"Singapore","2002-01-01","2001-12-31",36,0,0,0,0,0,0,0,NA,NA,3.71511141531675,NA,NA,1
"Sint Maarten","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,2.62012320328542,NA,NA,1
"Slovakia","2002-01-01","2001-12-31",188,0,0,0,0,0,0,0,NA,NA,6.47998310687812,NA,NA,1
"Slovenia","2002-01-01","2001-12-31",176,0,0,0,0,0,0,0,NA,NA,6.4741926451372,NA,NA,1
"Somalia","2002-01-01","2001-12-31",5,0,0,0,0,0,0,0,NA,NA,2.29979466119096,NA,NA,1
"South Africa","2002-01-01","2001-12-31",126,0,0,0,0,0,0,0,NA,NA,5.03986180372217,NA,NA,1
"Southern Sudan","2002-01-01","2001-12-31",2,0,0,0,0,0,0,0,NA,NA,2.24914442162902,NA,NA,1
"Spain","2002-01-01","2001-12-31",2169,0,0,0,0,0,0,0,NA,NA,6.80925590570075,NA,NA,1
"Sri Lanka","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,11.2662559890486,NA,NA,1
"St. Kitts & Nevis","2002-01-01","2001-12-31",4,0,0,0,0,0,0,0,NA,NA,9.47843942505133,NA,NA,1
"St. Lucia","2002-01-01","2001-12-31",4,0,0,0,0,0,0,0,NA,NA,4.7864476386037,NA,NA,1
"St. Vincent & Grenadinen","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,-2.08898015058179,NA,NA,1
"Sudan","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,-4.19438740588638,NA,NA,1
"Suriname","2002-01-01","2001-12-31",62,0,0,0,0,0,0,0,NA,NA,5.43511956017752,NA,NA,1
"Sweden","2002-01-01","2001-12-31",764,0,0,0,0,0,0,0,NA,NA,2.61127177469352,NA,NA,1
"Switzerland","2002-01-01","2001-12-31",400,0,0,0,0,0,0,0,NA,NA,2.66788806375967,NA,NA,1
"Syria","2002-01-01","2001-12-31",22,0,0,0,0,0,0,0,NA,NA,4.11138074793106,NA,NA,1
"Tahiti","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,21.6399726214921,NA,NA,1
"Tajikistan","2002-01-01","2001-12-31",44,0,0,0,0,0,0,0,NA,NA,1.7741273100616,NA,NA,1
"Tanzania","2002-01-01","2001-12-31",6,0,0,0,0,0,0,0,NA,NA,1.31736253707506,NA,NA,1
"Thailand","2002-01-01","2001-12-31",60,0,0,0,0,0,0,0,NA,NA,3.81505817932923,NA,NA,1
"The Gambia","2002-01-01","2001-12-31",87,0,0,0,0,0,0,0,NA,NA,2.2787415327244,NA,NA,1
"Togo","2002-01-01","2001-12-31",45,1,150000,11.9183972397228,150000,11.9183972397228,150000,11.9183972397228,150000,1,6.7502623773671,NA,NA,0.977777777777778
"Trinidad and Tobago","2002-01-01","2001-12-31",21,0,0,0,0,0,0,0,NA,NA,4.27665330334735,NA,NA,1
"Tunisia","2002-01-01","2001-12-31",122,0,0,0,0,0,0,0,NA,NA,7.48629391501442,NA,NA,1
"Turkey","2002-01-01","2001-12-31",2180,0,0,0,0,0,0,0,NA,NA,4.65218726094135,NA,NA,1
"Turkmenistan","2002-01-01","2001-12-31",2,0,0,0,0,0,0,0,NA,NA,2.54346338124572,NA,NA,1
"Uganda","2002-01-01","2001-12-31",69,0,0,0,0,0,0,0,NA,NA,3.65340396194784,NA,NA,1
"Ukraine","2002-01-01","2001-12-31",1623,0,0,0,0,0,0,0,NA,NA,5.36557237136749,NA,NA,1
"United Arab Emirates","2002-01-01","2001-12-31",27,0,0,0,0,0,0,0,NA,NA,3.08423961264482,NA,NA,1
"United States","2002-01-01","2001-12-31",614,0,0,0,0,0,0,0,NA,NA,1.53389651013205,NA,NA,1
"Uruguay","2002-01-01","2001-12-31",343,0,0,0,0,0,0,0,NA,NA,5.82390351271045,NA,NA,1
"Uzbekistan","2002-01-01","2001-12-31",58,0,0,0,0,0,0,0,NA,NA,4.79010597370719,NA,NA,1
"Vanuatu","2002-01-01","2001-12-31",1,0,0,0,0,0,0,0,NA,NA,8.25462012320328,NA,NA,1
"Venezuela","2002-01-01","2001-12-31",137,0,0,0,0,0,0,0,NA,NA,4.80650689208971,NA,NA,1
"Vietnam","2002-01-01","2001-12-31",47,0,0,0,0,0,0,0,NA,NA,2.71355964291435,NA,NA,1
"Wales","2002-01-01","2001-12-31",152,0,0,0,0,0,0,0,NA,NA,5.6404769624266,NA,NA,1
"Yemen","2002-01-01","2001-12-31",2,0,0,0,0,0,0,0,NA,NA,-2.8104038329911,NA,NA,1
"Zambia","2002-01-01","2001-12-31",24,0,0,0,0,0,0,0,NA,NA,4.85763175906913,NA,NA,1
"Zimbabwe","2002-01-01","2001-12-31",26,0,0,0,0,0,0,0,NA,NA,7.25267203706629,NA,NA,1
"Afghanistan","2002-07-01","2002-06-30",3,0,0,0,0,0,0,0,NA,NA,8.45083276294775,NA,NA,1
"Albania","2002-07-01","2002-06-30",183,0,0,0,0,0,0,0,NA,NA,5.0174033056182,NA,NA,1
"Algeria","2002-07-01","2002-06-30",200,0,0,0,0,0,0,0,NA,NA,6.67262149212868,NA,NA,1
"Andorra","2002-07-01","2002-06-30",36,0,0,0,0,0,0,0,NA,NA,4.78059167997566,NA,NA,1
"Angola","2002-07-01","2002-06-30",84,0,0,0,0,0,0,0,NA,NA,5.99328574687918,NA,NA,1
"Antigua and Barbuda","2002-07-01","2002-06-30",9,0,0,0,0,0,0,0,NA,NA,6.54072553045859,NA,NA,1
"Argentina","2002-07-01","2002-06-30",1732,0,0,0,0,0,0,0,NA,NA,5.10951877372105,NA,NA,1
"Armenia","2002-07-01","2002-06-30",88,0,0,0,0,0,0,0,NA,NA,6.51552485844067,NA,NA,1
"Aruba","2002-07-01","2002-06-30",6,0,0,0,0,0,0,0,NA,NA,10.9203741729409,NA,NA,1
"Australia","2002-07-01","2002-06-30",474,0,0,0,0,0,0,0,NA,NA,1.76185318997161,NA,NA,1
"Austria","2002-07-01","2002-06-30",421,0,0,0,0,0,0,0,NA,NA,4.12453961735276,NA,NA,1
"Azerbaijan","2002-07-01","2002-06-30",62,0,0,0,0,0,0,0,NA,NA,5.22699874147182,NA,NA,1
"Bahrain","2002-07-01","2002-06-30",2,0,0,0,0,0,0,0,NA,NA,6.89253935660506,NA,NA,1
"Bangladesh","2002-07-01","2002-06-30",38,0,0,0,0,0,0,0,NA,NA,1.72614287258187,NA,NA,1
"Barbados","2002-07-01","2002-06-30",5,0,0,0,0,0,0,0,NA,NA,8.84380561259411,NA,NA,1
"Belarus","2002-07-01","2002-06-30",114,0,0,0,0,0,0,0,NA,NA,7.65313351825834,NA,NA,1
"Belgium","2002-07-01","2002-06-30",1194,0,0,0,0,0,0,0,NA,NA,5.64075453700169,NA,NA,1
"Benin","2002-07-01","2002-06-30",29,0,0,0,0,0,0,0,NA,NA,7.94231631617456,NA,NA,1
"Bermuda","2002-07-01","2002-06-30",2,0,0,0,0,0,0,0,NA,NA,8.91444216290212,NA,NA,1
"Bolivia","2002-07-01","2002-06-30",62,0,0,0,0,0,0,0,NA,NA,2.57115100130269,NA,NA,1
"Bonaire","2002-07-01","2002-06-30",3,0,0,0,0,0,0,0,NA,NA,1.76591375770021,NA,NA,1
"Bosnia-Herzegovina","2002-07-01","2002-06-30",244,0,0,0,0,0,0,0,NA,NA,5.90903378552754,NA,NA,1
"Botswana","2002-07-01","2002-06-30",1,0,0,0,0,0,0,0,NA,NA,-3.58932238193018,NA,NA,1
"Brazil","2002-07-01","2002-06-30",2697,0,0,0,0,0,0,0,NA,NA,5.88252569526767,NA,NA,1
